label,url,filepath,width,height
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAjnFL_rE56EA6Kd_sNIkiYy8qxnhrTZYUhg&s,image_dataset\cats\cats_21.jpeg,225,225
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUMr9oZ5V0H2fOXGkFINBa15adAuFJ9JZdqQ&s,image_dataset\cats\cats_22.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREyncFVRz9hkf3Vl5mVWiKV4goJ4yf1KAgaQ&s,image_dataset\cats\cats_23.jpeg,225,224
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjzJyXFwIWX7XY5FSFuAdtFeZmM47jxgpY2w&s,image_dataset\cats\cats_24.jpeg,358,141
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwopaXaaC6q8Jc9bCWJaPhkpw_b5j72yP4ENq7E33yxB7JtzDliVSy&s=0,image_dataset\cats\cats_25.jpeg,50,50
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRppnTZ5HzCaYjTWOiJ8jo-zsIzIHAQtwvN7m8Zern2jC8TVNXlSQZG&s=0,image_dataset\cats\cats_26.jpeg,50,50
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8k2guCJz3GI0dwujIZnjxZsnmjn9inyXhMEmH_kU6&s=0,image_dataset\cats\cats_27.jpeg,50,50
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSchJuAW7xt51-em9rkDTaVYm-5EoJmrf5y4g&s,image_dataset\cats\cats_28.jpeg,259,194
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_VteKvosWMTM5MmWuIHiaNc5sFzlpmQwVxw&s,image_dataset\cats\cats_29.jpeg,300,168
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuHUlP6F15TiQpEK3oo9uzyvk0gFBypWJqAA&s,image_dataset\cats\cats_30.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSawl-jH4Yxv_fYDpa6zuYo-03JRImm8k4aaA&s,image_dataset\cats\cats_31.jpeg,253,199
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH7vDN07mCqaSv-VvdFX3VYd2Ic9uFyha4kA&s,image_dataset\cats\cats_32.jpeg,300,168
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYvEqpaaXwHmi20BtR7fNUzpb9MYEZQ-MhZA&s,image_dataset\cats\cats_33.jpeg,272,185
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBWQ4BpWPPCifXb30i5hOWoQZ4ECp71KPPLw&s,image_dataset\cats\cats_34.jpeg,183,275
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv8sv01DK7BoJGaJMZ972ig5mQ_JBbqxdINQ&s,image_dataset\cats\cats_35.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXUjD66P2JfKN2UUbK3BepXxoVuuEVZq0Rdg&s,image_dataset\cats\cats_36.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb-gEhzmCl0W5MAv0JbeMO9Ox4iTwlh_27fg&s,image_dataset\cats\cats_37.jpeg,373,135
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaaKZjTC4W1tC685hEZQ8J8VTgLOwAqI-AzA&s,image_dataset\cats\cats_38.jpeg,290,174
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdKYe00NaD5SQjIMvXYPssq0r1dXJggL3ZIg&s,image_dataset\cats\cats_39.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTziCfaBKWyBQVmi4usD-mZ5CaJFkl_ALc-xQ&s,image_dataset\cats\cats_40.jpeg,300,168
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR-qElipzsyWnO7dUBPwvDzj2bKQvlI1Zy2w&s,image_dataset\cats\cats_41.jpeg,372,135
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWd2vHaMRsO4MYOE_KjjUMlmNv5-6t9Fy-dw&s,image_dataset\cats\cats_42.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB4RVsCzdWnpo9WNUEZqRWMG5JT5HYm7TJXA&s,image_dataset\cats\cats_43.jpeg,290,174
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpoWMOnHxZVsCPKzJxOb5NJyyx1P4BWFOpYw&s,image_dataset\cats\cats_44.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKUeVsNXnR_0twlwaXb5zRiIOfLc1FT54apg&s,image_dataset\cats\cats_45.jpeg,208,242
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ98U1b7h2boJCkjLILsctoWHlYeCW2VAi62A&s,image_dataset\cats\cats_46.jpeg,348,145
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZAKLApbnI5kyfd9QVjex0Pm_k_o0LAav0xA&s,image_dataset\cats\cats_47.jpeg,201,251
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQXXtRAxDbs1wS3dSMGqp7GfLNJ0P96VCmpA&s,image_dataset\cats\cats_48.jpeg,225,225
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhhh9qlm_JX8GFMUet9Q1FUCRf2EFodu0r4w&s,image_dataset\cats\cats_49.jpeg,194,259
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNtcfap_t77m1KhQzQd-QzIv8De4UvePwU9A&s,image_dataset\cats\cats_50.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_jXuLXgTXe0vPDZi1tsUmP-3H41WtposH3SnXK4akmxEy6fnin4cXllPD&s,image_dataset\dogs\dogs_1.jpeg,46,46
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSglQi_APZ_QaBM3Uj-9w0BhhwYHYehm3w1cK5nmWkSVtvx3yJcNX5-pdkq&s,image_dataset\dogs\dogs_2.jpeg,61,46
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpswza9mvQ1dPfs5PW8Z6HFHuw2OUk2qFlQrS1xXDkAP89DRsgXicERkdr&s,image_dataset\dogs\dogs_3.jpeg,46,55
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyd1FWRKwZkW3dOhc_DW32RuvGnffoZwgX8g&s,image_dataset\dogs\dogs_4.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5jokWfY9upMtX8pYhqKSRCiI9XwwPdf55Yw&s,image_dataset\dogs\dogs_5.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3lB3AGvcR79zWizSc_gjQfTI6SyEoACBEhw&s,image_dataset\dogs\dogs_6.jpeg,310,162
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5QzBsby70kovekExRE6utbb22IDSvQCQg7g&s,image_dataset\dogs\dogs_7.jpeg,259,194
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpGrFU5Zd7h5jYkRZvUnnjq1eEwmbIJq4ZOg&s,image_dataset\dogs\dogs_8.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwAB0UiSYueQMTlnWgm_91qxfy_IHqtKq4yQ&s,image_dataset\dogs\dogs_9.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqhDVutdNnT3j4k-DIpUKR5t9ZwpBQhiZMYQ&s,image_dataset\dogs\dogs_10.jpeg,225,225
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL39jxtMblomhp2zuL1SCQHBvg2rXxwtDd6Q&s,image_dataset\dogs\dogs_11.jpeg,183,275
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQc59BJy-F4LscksbZAxXWuw-TTGmxgYdnyg&s,image_dataset\dogs\dogs_12.jpeg,313,161
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4g0jKpurBW3aiff0Pan75DMhpZCHzXE3TgQ&s,image_dataset\dogs\dogs_13.jpeg,280,180
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNwOkqxaH0_M1HNz5CH9ns001VVqGmpYyKkA&s,image_dataset\dogs\dogs_14.jpeg,360,140
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6-gGYjgwOSnhdI8hqUQ8APs44y0NggkbX5w&s,image_dataset\dogs\dogs_15.jpeg,259,194
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJD2HodCVfnDNveqga13NWoaxYii_ZAcUxeA&s,image_dataset\dogs\dogs_16.jpeg,371,136
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdJngnleGOQHzOuOHuGUj6sqpuRbYefYQXQw&s,image_dataset\dogs\dogs_17.jpeg,168,300
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWp6DKXg1mYH7YhgQrqb6hTaJEqarKWz55nA&s,image_dataset\dogs\dogs_18.jpeg,378,133
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGqBaPewKXmtOkVH-5Cj6Fp9Wap-6FqqHlgA&s,image_dataset\dogs\dogs_19.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0H17kdxaLyJdvcPWT90ixLTNnLWoYE1DV5Q&s,image_dataset\dogs\dogs_20.jpeg,260,194
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqtCML0mo9MTLfuuyjuEgrENErVbE227ndUQ&s,image_dataset\dogs\dogs_21.jpeg,168,300
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNrALab5g7z7KUqBkn43bm-zQKuXRES8roeQ&s,image_dataset\dogs\dogs_22.jpeg,186,271
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_YDvuZPXuKLpvzIQoBL6y2IBVOsvaFD0nyw&s,image_dataset\dogs\dogs_23.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-7TOInp_nBpD0xu-XTrXPoQeG9GFC11Z7QA&s,image_dataset\dogs\dogs_24.jpeg,366,137
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUwkXCDnoKyiOnW6dQORpO2f6-FTp2YAS97g&s,image_dataset\dogs\dogs_25.jpeg,300,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWETZbB2uvcXQThLE4UuNaNcft8LC4Inaa0iA-AAnN6UM3VBdAELfF&s=0,image_dataset\dogs\dogs_26.jpeg,50,50
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR0bcjNmCiigMo3muYibT4ee5vxHlADVhHW0g7Sa1S&s=0,image_dataset\dogs\dogs_27.jpeg,50,50
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmt22r2-YRaRc5ItW7ZqyaKoexAj0mv9sLwkDBsF0G&s=0,image_dataset\dogs\dogs_28.jpeg,50,50
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4ZEKtS68F5Hm98bQRcnRHz0MxYSnOQ78sgA&s,image_dataset\dogs\dogs_29.jpeg,276,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSY0xSyfuhQcFm0nKkHjhnoztnxiXe6iUbk9Q&s,image_dataset\dogs\dogs_30.jpeg,288,175
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgeIxr5mrTURJa72Qk-n3iZhsb1HfoFN9Xbg&s,image_dataset\dogs\dogs_31.jpeg,259,194
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_YGCoSf-zqAk5_xidYxdpx8DnJZSdRpoDUw&s,image_dataset\dogs\dogs_32.jpeg,194,259
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc1AC9jfOEwWLGxrgARPsZ7TCC_pLW_TOpuQ&s,image_dataset\dogs\dogs_33.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUwYmebAoxi8eIAGh3XLWt9ps-KdpCxbENjQ&s,image_dataset\dogs\dogs_34.jpeg,299,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgUt_apmZNx14m9aacQxSPOWoOTE3YwRpQdw&s,image_dataset\dogs\dogs_35.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTANgG48zF5TbumEN9S6M1o0PxCv5rf2eMBA&s,image_dataset\dogs\dogs_36.jpeg,199,253
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjiLdL2Vapa9SfnWE1kfZPUQ_4R7aY_CkgDQ&s,image_dataset\dogs\dogs_37.jpeg,300,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmF358LFDguVGRfwZzMFqe1vJJR9EeQaXo1Q&s,image_dataset\dogs\dogs_38.jpeg,300,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0e4YoXfVotIJ_Lus0hZIGVRocVkajvI-QyQ&s,image_dataset\dogs\dogs_39.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEh1KcJSjiiHPBxg9y7FXZsA6Lynci32uDJw&s,image_dataset\dogs\dogs_40.jpeg,276,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTElmRMb--tIvnjiu4fExlGl7a4OqUaiROoHQ&s,image_dataset\dogs\dogs_41.jpeg,251,201
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzn3HWOxRVDzJuE0KoB7tAMLYZzMab_9142g&s,image_dataset\dogs\dogs_42.jpeg,276,182
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDwFDnLsy8xFyy4E7LnOwf9XB-XWvFryqiDQ&s,image_dataset\dogs\dogs_43.jpeg,300,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSikw4kuz8-oWiM-0gSSKO3WWEfAwEkyxnacg&s,image_dataset\dogs\dogs_44.jpeg,290,174
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScErvHoX8UrZTK2iKlCxgt64k2Gf5e3vCVsw&s,image_dataset\dogs\dogs_45.jpeg,300,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThczW-PhHFu53-s9wxuItpr0PKJAiigaHXUA&s,image_dataset\dogs\dogs_46.jpeg,307,164
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWeem-01mGxcBcGaEeYJTTpaty_Ed3fnh1TA&s,image_dataset\dogs\dogs_47.jpeg,300,168
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt89nu5HcX65UCAUlQG6ZRP6UDiqelNSnTJg&s,image_dataset\dogs\dogs_48.jpeg,275,183
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuAXQzwCGRnOtHdeOzqqgWocBlHLqC0paXBQ&s,image_dataset\dogs\dogs_49.jpeg,310,162
dogs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpNArdRHTR4nAeCil0zhAxxmSNQyutRSqsgw&s,image_dataset\dogs\dogs_50.jpeg,183,275
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu-p5Pagoa_-pU0nAWl_4y_RTDS6rvY6GZo9bU_jQNN01i2usI3SYAi4Kr&s,image_dataset\birds\birds_1.jpeg,69,46
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiaOOeAWmTYH5ATCuW6hRJEoTgX2TxiAZ7r8oxkkFXk_-gSs4k08CpeTrr&s,image_dataset\birds\birds_2.jpeg,46,57
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShDDFwOEMLql4EpITfbeV0zP0-TfdEhZTdl2xxtUhYN3aVxdyj39fHs8Vm&s,image_dataset\birds\birds_3.jpeg,46,46
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPHWpAnjF-QngBDOTm1Cat0PJMUjJGY54qCw&s,image_dataset\birds\birds_4.jpeg,168,300
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShwFpufPryVZMkNlv46myC77ASGrOfbVbRGw&s,image_dataset\birds\birds_5.jpeg,152,330
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRu7SAk5Dh4V61gOKxkVwUxzH8yNzrEzdiXZg&s,image_dataset\birds\birds_6.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdPJL9CgCSiUfN7FHrFXwUOuKgI-Nku7vDyQ&s,image_dataset\birds\birds_7.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAsnlenL__9osYIZ2KQrsgsT9_3fEI8KAeLw&s,image_dataset\birds\birds_8.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyPfGnpmov8CmOCBeE-h29WZwMr1yi3kglcg&s,image_dataset\birds\birds_9.jpeg,199,253
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPoYyw6If9y4UM5Ow7UEqRz3hb6u6JVMLtxw&s,image_dataset\birds\birds_10.jpeg,300,168
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7iiguZJ0DLCrnvn9kjGdF4OkBitSo-e_kwQ&s,image_dataset\birds\birds_11.jpeg,300,168
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQe8Pgq8KNHOYUpRN012I3Wo_KNwgIuiqvV7A&s,image_dataset\birds\birds_12.jpeg,180,280
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTGAUweXhl-O2JDudb0okQdqV1HDdUvnAmcg&s,image_dataset\birds\birds_13.jpeg,286,176
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3rNYNWBuLXdZKqZfxDBOEAOh6rS08Uuu9dA&s,image_dataset\birds\birds_14.jpeg,168,300
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR99Ouln-2y_-4w8dnGSymMiY3YN-rm-KUq9Q&s,image_dataset\birds\birds_15.jpeg,320,157
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyjXwhFgTmZV6xbV2mzuoEO0JzwDdI48kTbg&s,image_dataset\birds\birds_16.jpeg,300,168
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSso0CnhULBFr_PfFcQbkfMFUTy07f200uGag&s,image_dataset\birds\birds_17.jpeg,168,300
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBInldtdw-EiFCyIemZFNczea1T9SPYSJBeA&s,image_dataset\birds\birds_18.jpeg,256,197
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg12ovA0fGZn7Z2zPgHSK897k2sRSABmCmnA&s,image_dataset\birds\birds_19.jpeg,324,155
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEgRXki863zQxjPG3xNsyV6ZdtnhhagYneTA&s,image_dataset\birds\birds_20.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd_fdbtAbddMW6GAzVaRZg79sLsrdN9fye7w&s,image_dataset\birds\birds_21.jpeg,224,224
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiw0_z6Ij69zlAQMSH5AZLQ4SwweE2jSODNtnMj_7feGi0iO2YOmiQ&s=0,image_dataset\birds\birds_22.jpeg,50,50
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBpLZWL1iaM44FfOaXmUqke6RsLPVyJrN06yfeg-Ag&s=0,image_dataset\birds\birds_23.jpeg,50,50
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQezdRgBEH4aVbyM2DNdqkOr0FtYcVs-n-vkgHRjrDiQaj0W2Oq_e2l&s=0,image_dataset\birds\birds_24.jpeg,50,50
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLhMuIYQ_3q_JnLtrjRzP4PKBjjkklEy644Q&s,image_dataset\birds\birds_25.jpeg,276,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOP_Zihn9br4FTuUjhPBQZT2p-nq6BuPrKTw&s,image_dataset\birds\birds_26.jpeg,372,135
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf4qtW6wXxY8yzT9sCnjEpAqDAo-69_2vTxQ&s,image_dataset\birds\birds_27.jpeg,266,190
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr7F7WEPicdmCUSae6lfimn0qqpOi3f-VIWQ&s,image_dataset\birds\birds_28.jpeg,323,156
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQ9W71S2KJupBvfs6b1Kyq2WpLHLWR5z-nog&s,image_dataset\birds\birds_29.jpeg,168,299
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4QrIRlav7ziqppp3LOU9_3PjRz2LyvGkUNw&s,image_dataset\birds\birds_30.jpeg,300,168
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_frynWAdIXpjr5CIYkm9aZ2UsNy1x94wWAQ&s,image_dataset\birds\birds_31.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFlRRcQHBgUpcYEmP4jxU0W9YPpGhl8YYP9A&s,image_dataset\birds\birds_32.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkefLqa208dm38vo54ZN1Xv_5jLQjMp5zUmQ&s,image_dataset\birds\birds_33.jpeg,273,185
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRvMbBY2pU-WM5LeCWII60I9uUkYVy9iyBzQ&s,image_dataset\birds\birds_34.jpeg,274,184
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuPZ7AhmA1FAHDPGjx9JBCuBSxNNEjGtql5A&s,image_dataset\birds\birds_35.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm1UgdGtuMpvd4J4wTHz0tfja5AfZ5ai-C4A&s,image_dataset\birds\birds_36.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtMQ3IGvPSH_VhC1bE7xnH42N_Ld_o93d8lA&s,image_dataset\birds\birds_37.jpeg,259,194
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgIlphOHZUcJi5T5D6lTdy4KXJW5aimzUv8A&s,image_dataset\birds\birds_38.jpeg,275,183
birds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTL_MMS-eRp2Wh_m9Js6NkenKVOzjEVl4qQnw&s,image_dataset\birds\birds_39.jpeg,225,225
